#type	timestamp	serial	sender	destination	path	interface	member
#					in_reply_to
sig	1787915156.693033	137	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915156.693057	138	:1.5	<none>	/org/a11y/atspi/accessible/231	org.a11y.atspi.Event.Object	Announcement
sig	1787915156.846142	139	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915156.998470	140	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915157.151303	141	:1.5	<none>	/org/a11y/atspi/accessible/239	org.a11y.atspi.Event.Object	TextChanged
sig	1787915157.151356	142	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915157.151360	143	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915157.151385	144	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915157.151388	145	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915157.303982	146	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915157.456569	147	:1.5	<none>	/org/a11y/atspi/accessible/239	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915157.456594	148	:1.5	<none>	/org/a11y/atspi/accessible/239	org.a11y.atspi.Event.Object	TextChanged
sig	1787915157.456611	149	:1.5	<none>	/org/a11y/atspi/accessible/239	org.a11y.atspi.Event.Object	TextChanged
sig	1787915157.456718	150	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915157.456737	151	:1.5	<none>	/org/a11y/atspi/accessible/239	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915157.608983	152	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915157.624698	153	:1.5	<none>	/org/a11y/atspi/cache	org.a11y.atspi.Cache	RemoveAccessible
sig	1787915157.624714	154	:1.5	<none>	/org/a11y/atspi/cache	org.a11y.atspi.Cache	RemoveAccessible
sig	1787915157.624716	155	:1.5	<none>	/org/a11y/atspi/cache	org.a11y.atspi.Cache	RemoveAccessible
sig	1787915157.624718	156	:1.5	<none>	/org/a11y/atspi/cache	org.a11y.atspi.Cache	RemoveAccessible
