#type	timestamp	serial	sender	destination	path	interface	member
#					in_reply_to
sig	1787915153.822402	24	:1.0	<none>	/org/a11y/atspi/registry	org.a11y.atspi.Registry	EventListenerRegistered
mr	1787915153.822437	25	:1.0	:1.4	27
mc	1787915153.822525	28	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mr	1787915153.822529	13	org.freedesktop.DBus	:1.4	28
mc	1787915153.822598	29	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/registry	org.a11y.atspi.Registry	RegisterEvent
sig	1787915153.822666	26	:1.0	<none>	/org/a11y/atspi/registry	org.a11y.atspi.Registry	EventListenerRegistered
mr	1787915153.822701	27	:1.0	:1.4	29
mc	1787915153.822796	30	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mr	1787915153.822800	14	org.freedesktop.DBus	:1.4	30
mc	1787915153.822870	31	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/registry	org.a11y.atspi.Registry	RegisterEvent
sig	1787915153.822935	28	:1.0	<none>	/org/a11y/atspi/registry	org.a11y.atspi.Registry	EventListenerRegistered
mr	1787915153.822970	29	:1.0	:1.4	31
mc	1787915153.823132	32	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mr	1787915153.823139	15	org.freedesktop.DBus	:1.4	32
mc	1787915153.823252	33	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/registry	org.a11y.atspi.Registry	RegisterEvent
sig	1787915153.823360	30	:1.0	<none>	/org/a11y/atspi/registry	org.a11y.atspi.Registry	EventListenerRegistered
mr	1787915153.823374	31	:1.0	:1.4	33
mc	1787915153.823511	34	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mr	1787915153.823517	16	org.freedesktop.DBus	:1.4	34
mc	1787915153.823615	35	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/registry	org.a11y.atspi.Registry	RegisterEvent
sig	1787915153.823705	32	:1.0	<none>	/org/a11y/atspi/registry	org.a11y.atspi.Registry	EventListenerRegistered
mr	1787915153.823718	33	:1.0	:1.4	35
mc	1787915154.230713	1	:1.5	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	Hello
mr	1787915154.230728	1	org.freedesktop.DBus	:1.5	1
sig	1787915154.230730	17	org.freedesktop.DBus	<none>	/org/freedesktop/DBus	org.freedesktop.DBus	NameOwnerChanged
sig	1787915154.230733	2	org.freedesktop.DBus	:1.5	/org/freedesktop/DBus	org.freedesktop.DBus	NameAcquired
mc	1787915154.235194	2	:1.5	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915154.235211	3	:1.5	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915154.235215	4	:1.5	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915154.351676	5	:1.5	org.a11y.atspi.Registry	/org/a11y/atspi/accessible/root	org.a11y.atspi.Socket	Embed
sig	1787915154.352765	34	:1.0	<none>	/org/a11y/atspi/accessible/root	org.a11y.atspi.Event.Object	ChildrenChanged
mc	1787915154.352808	35	:1.0	:1.5	/org/a11y/atspi/accessible/root	org.freedesktop.DBus.Properties	Set
mr	1787915154.352837	36	:1.0	:1.5	5
mc	1787915154.352911	36	:1.4	:1.0	/org/a11y/atspi/accessible/root	org.a11y.atspi.Application	GetApplicationBusAddress
mc	1787915154.352936	37	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/accessible/root	org.a11y.atspi.Application	GetApplicationBusAddress
mc	1787915154.352985	38	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/accessible/root	org.a11y.atspi.Accessible	GetChildren
mr	1787915154.353017	6	:1.5	:1.0	35
err	1787915154.353051	37	:1.0	:1.4	36
err	1787915154.353097	38	:1.0	:1.4	37
mr	1787915154.353134	39	:1.0	:1.4	38
mc	1787915154.354810	7	:1.5	org.a11y.atspi.Registry	/org/a11y/atspi/registry	org.a11y.atspi.Registry	GetRegisteredEvents
mc	1787915154.354820	8	:1.5	org.a11y.atspi.Registry	/org/a11y/atspi/registry/deviceeventcontroller	org.a11y.atspi.DeviceEventController	GetKeystrokeListeners
mc	1787915154.354822	39	:1.4	:1.5	/org/a11y/atspi/accessible/root	org.a11y.atspi.Application	GetApplicationBusAddress
mc	1787915154.354824	40	:1.4	:1.5	/org/a11y/atspi/accessible/root	org.a11y.atspi.Accessible	GetRole
mr	1787915154.354914	40	:1.0	:1.5	7
mr	1787915154.354918	41	:1.0	:1.5	8
sig	1787915154.357877	9	:1.5	<none>	/org/a11y/atspi/accessible/1	org.a11y.atspi.Event.Window	Activate
sig	1787915154.357888	10	:1.5	<none>	/org/a11y/atspi/accessible/1	org.a11y.atspi.Event.Object	StateChanged
mc	1787915154.363158	11	:1.5	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mr	1787915154.363589	12	:1.5	:1.4	39
mr	1787915154.364570	13	:1.5	:1.4	40
mc	1787915154.364759	41	:1.4	:1.5	/org/a11y/atspi/accessible/root	org.freedesktop.DBus.Properties	Get
mr	1787915154.365013	14	:1.5	:1.4	41
mc	1787915154.365019	42	:1.4	:1.5	/org/a11y/atspi/accessible/root	org.a11y.atspi.Accessible	GetAttributes
mr	1787915154.366901	15	:1.5	:1.4	42
mc	1787915154.367291	43	:1.4	:1.0	/org/a11y/atspi/accessible/root	org.a11y.atspi.Accessible	GetRole
mr	1787915154.367383	42	:1.0	:1.4	43
mc	1787915154.367613	44	:1.4	:1.0	/org/a11y/atspi/accessible/root	org.freedesktop.DBus.Properties	Get
mr	1787915154.367706	43	:1.0	:1.4	44
mc	1787915154.367785	45	:1.4	:1.0	/org/a11y/atspi/accessible/root	org.a11y.atspi.Accessible	GetAttributes
mr	1787915154.368284	44	:1.0	:1.4	45
mc	1787915154.368290	46	:1.4	:1.0	/org/a11y/atspi/cache	org.a11y.atspi.Cache	GetItems
mc	1787915154.368292	47	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/cache	org.a11y.atspi.Cache	GetItems
mr	1787915154.368379	45	:1.0	:1.4	46
mr	1787915154.368401	46	:1.0	:1.4	47
sig	1787915154.391658	16	:1.5	<none>	/org/a11y/atspi/accessible/42	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.395210	17	:1.5	<none>	/org/a11y/atspi/accessible/222	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.395219	18	:1.5	<none>	/org/a11y/atspi/accessible/38	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.395221	19	:1.5	<none>	/org/a11y/atspi/accessible/223	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.411312	20	:1.5	<none>	/org/a11y/atspi/cache	org.a11y.atspi.Cache	RemoveAccessible
sig	1787915154.442271	21	:1.5	<none>	/org/a11y/atspi/accessible/90	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.442357	22	:1.5	<none>	/org/a11y/atspi/cache	org.a11y.atspi.Cache	RemoveAccessible
sig	1787915154.442915	23	:1.5	<none>	/org/a11y/atspi/accessible/126	org.a11y.atspi.Event.Object	PropertyChange
